prompt,label
How do I get to the nearest gas station?,1
Add a note about the time I visited Seattle.,0
Add a journal about the time I visited Seattle.,0
Add a note about the time I visited Chicago.,0
I need to note that I finished our job today.,0
Search for stories from last summer.,4
Who is the person listed as 'boss'?,2
Tell the app that I had snack with Anna.,0
Find Mike in our contacts.,2
What is the sky like today?,1
Tell the app that I had lunch with Anna.,0
Find Mike in the contacts.,2
Find the entry about when I got a new job.,4
Add a entry about the time I visited Chicago.,0
Search their stories about family events.,4
Who is David Doe in this contacts?,2
Can you tell me more about this cafe?,1
Do I have a contact named Carlos?,2
Tell the app that I had meal with Anna.,0
I just met with the old friend Mark.,0
Can you tell me more about this diner?,1
Who is Daniel Doe in the contacts?,2
I need to note that I finished the work today.,0
Add a journal about the time I visited Houston.,0
Search this contacts for Laura Davidson.,2
Show me the stories where I mentioned college.,4
I need to note that I finished our duty today.,0
What is the temperature like today?,1
Can you remind me of our next appointment?,1
Can you remind me of the next appointment?,1
I need to note that I finished their duty today.,0
Find Mike in this contacts.,2
Search the stories for the last holiday.,4
What are the details of their last meeting?,1
Find the memo about when I got a new job.,4
Search a contacts for Sophia Jamesson.,2
Search a contacts for Olivia Jamesson.,2
Find Mike in their contacts.,2
Who is Daniel Doe in this contacts?,2
What are the details of a last meeting?,1
Add a entry about the time I visited Miami.,0
Add a memo about the time I visited Chicago.,0
Add a journal about the time I visited Los Angeles.,0
Find the note about when I got a new job.,4
Find Mike in a contacts.,2
Search our stories for our last holiday.,4
Add a note about this recent vacation.,0
Search a stories for a last journey.,4
I just met with this old friend Mark.,0
Who is James Doe in the contacts?,2
Can you tell me more about this food place?,1
Find the journal about when I got a new job.,4
Add a journal about the time I visited Chicago.,0
Search this stories for this last adventure.,4
What is the forecast like today?,1
Can you remind me of this next appointment?,1
What is the conditions like today?,1
Add a entry about the recent vacation.,0
Add a record about a recent vacation.,0
Add a entry about the time I visited Seattle.,0
Add a entry about their recent vacation.,0
I just met with a old friend Mark.,0
Search their contacts for Emma Jamesson.,2
Search the contacts for Anna Davidson.,2
Search their stories for their last vacation.,4
Search a stories for a last adventure.,4
Search the stories about family events.,4
Search our stories for our last travel.,4
Add a journal about the time I visited Miami.,0
Can you tell me more about this bistro?,1
Add a memo about a recent vacation.,0
Add a record about our recent vacation.,0
Search this stories for this last holiday.,4
I just met with our old friend Mark.,0
Search our contacts for Olivia Davidson.,2
Search their stories for their last travel.,4
What is the climate like today?,1
Search the contacts for Anna Robertson.,2
Who is Michael Doe in this contacts?,2
Search our stories about family events.,4
Who is James Doe in this contacts?,2
Search a contacts for Laura Jamesson.,2
Search a stories about family events.,4
Who is David Doe in the contacts?,2
Search this contacts for Sophia Jamesson.,2
I need to note that I finished a work today.,0
Search the stories for the last vacation.,4
Add a entry about the time I visited Houston.,0
Add a memo about the time I visited Seattle.,0
Who is Daniel Doe in our contacts?,2
I need to note that I finished our task today.,0
Search the contacts for Emma Michaelson.,2
Can you tell me more about this eatery?,1
Tell the app that I had breakfast with Anna.,0
Search our stories for our last vacation.,4
Can you remind me of a next appointment?,1
Search the contacts for Anna Michaelson.,2
I need to note that I finished a job today.,0
Search the stories for the last adventure.,4
I need to note that I finished a task today.,0
Who is Michael Doe in their contacts?,2
Search their contacts for Sophia Robertson.,2
Search this stories about family events.,4
Add a record about their recent vacation.,0
Can you remind me of their next appointment?,1
Search our stories for our last adventure.,4
Add a journal about a recent vacation.,0
Find the record about when I got a new job.,4
I need to note that I finished this duty today.,0
Add a record about the recent vacation.,0
I just met with their old friend Mark.,0
Add a note about our recent vacation.,0
Search their stories for their last journey.,4
Search our contacts for Laura Robertson.,2
Who is David Doe in their contacts?,2
Who is Robert Doe in a contacts?,2
What are the details of the last meeting?,1
Search the contacts for Laura Robertson.,2
Add a note about the recent vacation.,0
Who is Robert Doe in the contacts?,2
Add a memo about our recent vacation.,0
Search this contacts for Emma Michaelson.,2
Search the stories for the last journey.,4
